ArtID,TpcID
EGJWSHJQ,Tpc104
9TJRKBP3,Tpc84
WD7KG637,Tpc112
ZDXPKKB4,Tpc127
RA7E7IEW,Tpc21
I6KFKVZJ,Tpc72
N7VRTK35,Tpc130
I2KZWCE7,Tpc37
VPFR7P5H,Tpc37
VKKXWB2W,Tpc3
7UUX3TU6,Tpc11
83EGGPUZ,Tpc11
26HI6F5X,Tpc3
4QHEUD3F,Tpc4
INM44PCR,Tpc4
EGJWSHJQ,Tpc4
NW84NRHJ,Tpc40
G47MHPCA,Tpc25
HFZ4U584,Tpc117
9TJRKBP3,Tpc15
N7VRTK35,Tpc37
WD7KG637,Tpc37
RA7E7IEW,Tpc37
VKKXWB2W,Tpc30
83EGGPUZ,Tpc11
7UUX3TU6,Tpc141
26HI6F5X,Tpc144
HFZ4U584,Tpc120
NW84NRHJ,Tpc40
G47MHPCA,Tpc20
9TJRKBP3,Tpc124
EGJWSHJQ,Tpc3
VKKXWB2W,Tpc11
N7VRTK35,Tpc58
G47MHPCA,Tpc25
9TJRKBP3,Tpc37
HFZ4U584,Tpc15
VKKXWB2W,Tpc11
NW84NRHJ,Tpc11
9TJRKBP3,Tpc135
VKKXWB2W,Tpc11
NW84NRHJ,Tpc139
HFZ4U584,Tpc120
9TJRKBP3,Tpc21
VKKXWB2W,Tpc11
HFZ4U584,Tpc58
VKKXWB2W,Tpc40
VKKXWB2W,Tpc30
VKKXWB2W,Tpc3
